Ulysses, James Joyce

The Great Gatsby, F. Scott Fitzgerald

A Portrait of the Artist as a Young Man, James Joyce

Lolita, Vladimir Nabokov

Brave New World, Aldous Huxley

The Sound and the Fury, William Faulkner

Catch-22, Joseph Heller

Darkness at Noon, Arthur Koestler

Sons and Lovers, D. H. Lawrence

The Grapes of Wrath, John Steinbeck

Under the Volcano, Malcolm Lowry

The Way of All Flesh, Samuel Butler

1984, George Orwell

I, Claudius, Robert Graves

To the Lighthouse, Virginia Woolf

An American Tragedy, Theodore Dreiser

The Heart Is a Lonely Hunter, Carson McCullers

Slaughterhouse Five, Kurt Vonnegut

Invisible Man, Ralph Ellison

Native Son, Richard Wright

Henderson the Rain King, Saul Bellow

Appointment in Samarra, John O' Hara

U.S.A. (trilogy), John Dos Passos

Winesburg, Ohio, Sherwood Anderson

A Passage to India, E. M. Forster

The Wings of the Dove, Henry James

The Ambassadors, Henry James

Tender Is the Night, F. Scott Fitzgerald

The Studs Lonigan Trilogy, James T. Farrell

The Good Soldier, Ford Madox Ford

Animal Farm, George Orwell

The Golden Bowl, Henry James

Sister Carrie, Theodore Dreiser

A Handful of Dust, Evelyn Waugh

As I Lay Dying, William Faulkner

All the King's Men, Robert Penn Warren

The Bridge of San Luis Rey, Thornton Wilder

Howards End, E. M. Forster

Go Tell It on the Mountain, James Baldwin

The Heart of the Matter, Graham Greene

Lord of the Flies, William Golding

Deliverance, James Dickey

A Dance to the Music of Time (series), Anthony Powell

Point Counter Point, Aldous Huxley

The Sun Also Rises, Ernest Hemingway

The Secret Agent, Joseph Conrad

Notromo, Joseph Conrad

The Rainbow, D. H. Lawrence

Women in Love, D. H. Lawrence

Tropic of Cancer, Henry Miller

The Naked and the Dead, Norman Mailer

Portnoy's Complaint, Philip Roth

Pale Fire, Vladimir Nabokov

Light in August, William Faulkner

On the Road, Jack Kerouac

The Maltese Falcon, Dashiell Hammett

Parade's End, Ford Madox Ford

The Age of Innocence, Edith Wharton

Zuleika Dobson, Max Beerbohm

The Moviegoer, Walker Percy

Death Comes to the Archbishop, Willa Cather

From Here to Eternity, James Jones

The Wapshot Chronicles, John Cheever

The Catcher in the Rye, J. D. Salinger

A Clockwork Orange, Anthony Burgess

Of Human Bondage, W. Somerset Maugham

Heart of Darkness, Joseph Conrad

Main Street, Sinclair Lewis

The House of Mirth, Edith Wharton

The Alexandria Quartet, Lawrence Durrell

A High Wind in Jamaica, Richard Hughes

A House for Ms. Biswas, V. S. Naipaul

The Day of the Locust, Nathaniel West

A Farewell to Arms, Ernest Hemingway

Scoop, Evelyn Waugh

The Prime of Miss Jean Brodie, Muriel Spark

Finnegans Wake, James Joyce

Kim, Rudyard Kipling

A Room With a View, E. M. Forster

Brideshead Revisited, Evelyn Waugh

The Adventures of Augie March, Saul Bellow

Angle of Repose, Wallace Stegner

A Bend in the River, V. S. Naipaul

The Death of the Heart, Elizabeth Bowen

Lord Jim, Joseph Conrad

Ragtime, E. L. Doctorow

The Old Wives' Tale, Arnold Bennett

The Call of the Wild, Jack London

Loving, Henry Green

Midnight's Children, Salman Rushdie

Tobacco Road, Erskine Caldwell

Ironweed, William Kennedy

The Magus, John Fowles

Wide Sargasso Sea, Jean Rhys

Under the Net, Iris Murdoch

Sophie's Choice, William Styron

The Sheltering Sky, Paul Bowles

The Postman Always Rings Twice, James M. Cain

The Ginger Man, J. P. Donleavy

The Magnificent Ambersons, Booth Tarkington
